name,address,phone,sign,type,price
碧桂园·国湖,[三环以外]西咸新区镐京大道与汉池一路交汇西北角,400-890-0000 ,"待售,普通住宅, 叠拼,地铁沿线,湖景地产",碧桂园·国湖预计近期取证开盘,元/㎡
中海曲江大城·君尚府,"[三环以外]曲江曲江文创核心,万亩生态园旁",400-890-0000 ,"在售,普通住宅, 住宅底商,品牌地产","3居,4居","18000,元/㎡"
紫薇·万科大都会,[三环以外]西咸新区统一路与白马河路交汇处东北角,400-890-0000 ,"在售,普通住宅,品牌地产,地铁沿线,配套商品房","2居,3居","12000,元/㎡"
绿地新里城·兰亭公馆,[三环以外]西咸新区科技西路与绕城高速交汇处向东300米,400-890-0000 ,"待售,普通住宅, 住宅底商,品牌地产",绿地新里城·兰亭公馆备案均价12471元/平,"12471,元/㎡"
富力开远城,[二至三环]城西丰镐西路与团结南路十字向西50米,400-890-0000 ,"待售,综合体, 普通住宅,品牌地产",富力开远城展示中心开放，项目前期咨询中,价格待定
中建·昆明澜庭,西咸新区科技路西段镐京大道汉池一路交汇处,400-890-0000 ,"在售,联排, 普通住宅,低密居所,中式地产","3居,4居,5居,5居以上","13600,元/㎡"
德杰·状元府邸,[二至三环]城西红光路与汉城南路交汇处往西500米,400-890-0000 ,"待售,自住型商品房",3居,元/㎡
绿地新都会,[三环以外]西咸新区咸北大道与北塬一路十字东北角,400-890-0000 ,"在售,商住楼,国际化社区,低密居所,景观居所","2居,3居","8000,元/㎡"
当代上品湾MOMΛ,[三环以外]高陵区长庆东路与泾渭八路十字西南角,400-890-0000 ,"在售,普通住宅, 住宅底商,品牌地产,教育地产","2居,3居","8200,元/㎡"
公园上城,"[二至三环]浐灞南三环以南,田马路以西。",400-890-0000 ,"在售,花园洋房","3居,4居","15500,元/㎡"
绿地国宝21城,[三环以外]西咸新区沣泾大道与周公大道十字东南角,400-890-0000 ,"待售,普通住宅, 叠拼,豪华居住区,特色别墅","2居,3居,4居",价格待定
科为瑞府,[二至三环]经开红旗东路与同建路交汇处向南200米,400-890-0000 ,"待售,普通住宅, 花园洋房,品牌地产",3居,价格待定
保亿·公元印,[二环以内]城北北二环与永全路交叉口,400-890-0000 ,"待售,普通住宅, 大平层,品牌地产",4居,价格待定
中南·上悦城,[三环以外]西咸新区太平路与征和六路交汇处东北角,400-890-0000 ,"在售,商住楼,品牌地产","3居,4居","15500,元/㎡"
湖光山色,[三环以外]西咸新区镐京大道(科技西路西延线)与镐京新城园区路交汇处向南500米,400-890-0000 ,"待售,普通住宅,湖景地产","3居,4居","29798,元/㎡"
金辉城,[三环以外]西咸新区茶马大道与泾河大道交汇处向西约3公里,400-890-0000 ,"在售,普通住宅,品牌地产,水景地产",3居,"7000,元/㎡"
万科·城市之光,[三环以外]曲江芙蓉西路与创意大道十字向东,400-890-0000 ,"待售,普通住宅,教育地产",万科·城市之光南区3#、5#目前登记中,"13628,元/㎡"
中国铁建·万科翡翠国际,[二至三环]曲江曲江大道东侧(曲江二小西侧),400-890-0000 ,"待售,普通住宅, 花园洋房,公园地产 ,教育地产",4居,"13893.82,元/㎡"
金地南湖艺境,[三环以外]曲江曲江新区新开门南路与唐华路十字东北角,400-890-0000 ,"待售,普通住宅, 花园洋房",金地南湖艺境前期咨询,元/㎡
清凉山居,[三环以外]城南西安市清凉山公园(朱雀大街与西部大道西北角),400-890-0000 ,"待售,别墅,特色别墅,山景地产,宜居生态地产","3居,4居",元/㎡
